"cliente.idcliente","cliente.nombrecliente","cliente.direccion","cliente.estado","cliente.nacimiento","ctacliente.numcta","cuenta.numsucursal","cuenta.saldo","cuenta.fecha"
"1668","VÍCTOR REY CAMPOS","CHICARAS MANZANA 99","CHIHUAHUA","Sun Dec 17 1967 00:00:00 GMT-0600 (hora estándar central)","C-01667","68","60155.15","Thu Jun 13 2013 00:00:00 GMT-0500 (hora de verano central)"
"1681","VICENTA CRESPO GALLARDO","STA. CLARA II MZNA 195","QUERÉTARO","Thu Apr 20 1967 00:00:00 GMT-0600 (hora de verano central)","C-01680","153","115670.39","Sun Jul 13 2014 00:00:00 GMT-0500 (hora de verano central)"
"1682","ÁLVARO NIETO BLESA","FRESNO MZNA 334","JALISCO","Mon Feb 25 1974 00:00:00 GMT-0600 (hora estándar central)","C-01681","64","16667.38","Thu Jan 16 2014 00:00:00 GMT-0600 (hora estándar central)"
"1686","DOMINGO CALVO CRUZ","PINARES MANZANA 487","MORELOS","Sun Dec 10 1961 00:00:00 GMT-0600 (hora estándar central)","C-01685","119","119969.02","Wed Aug 27 2014 00:00:00 GMT-0500 (hora de verano central)"
"1689","LEÓN DÍAZ DURÁN","PRIV. JESUS LECUONA MANZANA 624","DURANGO","Wed Dec 07 1988 00:00:00 GMT-0600 (hora estándar central)","C-01688","64","89858.5","Mon Feb 10 2014 00:00:00 GMT-0600 (hora estándar central)"
"1693","DIMAS GALLEGO VICENTE","SN. CIPRIAN NÚMERO 157","JALISCO","Sun Jul 17 1977 00:00:00 GMT-0600 (hora estándar central)","C-01692","85","45576.82","Fri Jun 01 2012 00:00:00 GMT-0500 (hora de verano central)"
"1697","CONSTANTINO GARRIDO FUENTES","CALLE ZARAGOZA NUM. 668","ESTADO DE MÉXICO","Wed Oct 25 1995 00:00:00 GMT-0600 (hora estándar central)","C-01696","34","106015.69","Tue Mar 05 2013 00:00:00 GMT-0600 (hora estándar central)"
"1707","VICTORIO LEÓN CARRASCO","CERRADA CABRERA NO. 194","BAJA CALIFORNIA","Tue Jan 19 1982 00:00:00 GMT-0600 (hora estándar central)","C-01706","85","112140.94","Wed Jul 30 2014 00:00:00 GMT-0500 (hora de verano central)"
"1716","MARIO NIETO RODRÍGUEZ","FRESNO MZNA 267","MORELOS","Fri Aug 06 1982 00:00:00 GMT-0600 (hora estándar central)","C-01715","23","136103.21","Sat Dec 28 2013 00:00:00 GMT-0600 (hora estándar central)"
"1718","EMILIO ÁLVAREZ VICENTE","CERRO DE LOS GAVILANES MANZANA 611","NAYARIT","Mon Mar 03 1969 00:00:00 GMT-0600 (hora estándar central)","C-01717","125","40157.81","Mon Jan 13 2014 00:00:00 GMT-0600 (hora estándar central)"
"1735","GUZMÁN MUÑOZ MORALES","HALCON NUM. 37","YUCATÁN","Sat Feb 14 1987 00:00:00 GMT-0600 (hora estándar central)","C-01734","37","12551.03","Mon Jun 11 2012 00:00:00 GMT-0500 (hora de verano central)"
"1746","SIMÓN RAMOS BLANCO","OCOTAL MANZANA 222","DURANGO","Sun Sep 21 1958 00:00:00 GMT-0600 (hora de verano central)","C-01745","16","53047.78","Sun Mar 16 2014 00:00:00 GMT-0600 (hora estándar central)"
"1757","AQUILES RODRÍGUEZ CASTRO","ROMULO O FARRIL NÚMERO 665","MICHOACÁN","Wed Mar 09 1977 00:00:00 GMT-0600 (hora estándar central)","C-01756","37","38698.23","Thu Apr 03 2014 00:00:00 GMT-0600 (hora estándar central)"
"1758","ALFREDO ROMERO CANO","ALTOMONTE NO. 538","CAMPECHE","Fri Apr 16 1965 00:00:00 GMT-0600 (hora de verano central)","C-01757","89","8153.99","Wed Dec 19 2012 00:00:00 GMT-0600 (hora estándar central)"
"1759","REINALDO PÉREZ MORA","FELIPE ANGELES NO. 669","NUEVO LEÓN","Thu Dec 15 1983 00:00:00 GMT-0600 (hora estándar central)","C-01758","152","10183.64","Tue Mar 05 2013 00:00:00 GMT-0600 (hora estándar central)"
"1760","HILDEGARDA RAMOS MÁRQUEZ","PROVIDENCIA MZNA 401","OAXACA","Tue Jan 06 1970 00:00:00 GMT-0600 (hora estándar central)","C-01759","101","5355.09","Mon Dec 23 2013 00:00:00 GMT-0600 (hora estándar central)"
"1761","MARCELO MONTERO MARTÍNEZ","AV. COPILCO NO. 312","AGUASCALIENTES","Tue Jun 10 1975 00:00:00 GMT-0600 (hora estándar central)","C-01760","70","40541.46","Thu Apr 12 2012 00:00:00 GMT-0500 (hora de verano central)"
"1772","LUIS IBÁÑEZ CANO","XOLOTL NÚMERO 393","SONORA","Tue Jul 04 1972 00:00:00 GMT-0600 (hora estándar central)","C-01771","101","146871.02","Fri Jan 06 2012 00:00:00 GMT-0600 (hora estándar central)"
"1774","BRUNO GUTIÉRREZ RUIZ","BARRANCA NO. 617","CDMX","Wed Dec 19 1979 00:00:00 GMT-0600 (hora estándar central)","C-01773","64","1773.5","Tue Jun 03 2014 00:00:00 GMT-0500 (hora de verano central)"
"1786","PATRICIA ÁLVAREZ ROMÁN","CERRO CHURINTZIO NÚMERO 660","HIDALGO","Wed Feb 07 1990 00:00:00 GMT-0600 (hora estándar central)","C-01785","152","103438.9","Tue Dec 04 2012 00:00:00 GMT-0600 (hora estándar central)"
"1787","OTO ESTEBAN VIDAL","AV VICENTE RIVA PALACIO NÚMERO 782","DURANGO","Sat Nov 25 1961 00:00:00 GMT-0600 (hora estándar central)","C-01786","85","150317.79","Sat Feb 01 2014 00:00:00 GMT-0600 (hora estándar central)"
"1793","FACUNDO ORTEGA DOMÍNGUEZ","PRIVADA LIMONES NÚMERO 776","CHIHUAHUA","Fri Oct 27 1967 00:00:00 GMT-0600 (hora de verano central)","C-01792","154","84444.62","Sat Jan 21 2012 00:00:00 GMT-0600 (hora estándar central)"
"1799","ALFREDO ORTIZ BENÍTEZ","VALLE PASSOS NO. 32","DURANGO","Wed May 26 1976 00:00:00 GMT-0600 (hora estándar central)","C-01798","16","108775.97","Tue Jul 31 2012 00:00:00 GMT-0500 (hora de verano central)"
"1805","LEÓN GIL MEDINA","PARAJE NUM. 225","TLAXCALA","Wed Jun 26 1991 00:00:00 GMT-0600 (hora estándar central)","C-01804","52","20157.03","Tue Dec 04 2012 00:00:00 GMT-0600 (hora estándar central)"
"1806","NATALIA SÁNCHEZ REY","TLACOTAL NO. 219","PUEBLA","Tue Jan 21 1964 00:00:00 GMT-0600 (hora estándar central)","C-01805","68","69123.2","Tue May 06 2014 00:00:00 GMT-0500 (hora de verano central)"
"1825","AURELIO PRIETO NAVARRO","COPA DE ORO MANZANA 754","VERACRUZ","Thu Jun 08 1989 00:00:00 GMT-0600 (hora estándar central)","C-01824","169","79565.3","Fri Nov 22 2013 00:00:00 GMT-0600 (hora estándar central)"
"1828","ROMÁN PASCUAL JIMÉNEZ","CALLE PETIRROJO MZNA 347","BAJA CALIFORNIA","Wed Jan 15 1958 00:00:00 GMT-0600 (hora estándar central)","C-01827","141","84419.21","Sat Apr 07 2012 00:00:00 GMT-0500 (hora de verano central)"
"1830","PROBO LORENZO FERNÁNDEZ","RANCHO SAN LORENZO NÚMERO 252","PUEBLA","Sun Nov 11 1962 00:00:00 GMT-0600 (hora estándar central)","C-01829","64","42672.45","Tue May 07 2013 00:00:00 GMT-0500 (hora de verano central)"
"1835","BARTOLOMÉ CASTILLO DELGADO","GALEANA MZNA 260","COAHUILA","Sun Feb 18 1990 00:00:00 GMT-0600 (hora estándar central)","C-01834","37","35704.65","Wed Apr 18 2012 00:00:00 GMT-0500 (hora de verano central)"
"1836","BARTOLOMÉ AGUILAR GUERRERO","LIBERTAD NUM. 625","CHIHUAHUA","Wed Jun 09 1954 00:00:00 GMT-0600 (hora de verano central)","C-01835","154","15065.54","Wed Aug 15 2012 00:00:00 GMT-0500 (hora de verano central)"
"1838","ADOLFO SANTIAGO MORA","CARMEN SERDAN MZNA 557","SONORA","Tue Jul 02 1985 00:00:00 GMT-0600 (hora estándar central)","C-01837","89","3105.73","Sun May 27 2012 00:00:00 GMT-0500 (hora de verano central)"
"1840","AGUSTÍN BLESA MARTÍN","LOMA DE GUADALUPE MZNA 687","BAJA CALIFORNIA","Wed Jun 01 1994 00:00:00 GMT-0600 (hora estándar central)","C-01839","34","138393.14","Mon Dec 31 2012 00:00:00 GMT-0600 (hora estándar central)"
"1846","ADRIÁN RUIZ RODRÍGUEZ","CAOBAN MANZANA 78","NUEVO LEÓN","Tue Apr 01 1958 00:00:00 GMT-0600 (hora estándar central)","C-01845","85","136944.97","Sat Mar 02 2013 00:00:00 GMT-0600 (hora estándar central)"
"1850","MONTSERRAT RAMOS ARIAS","MONROVIA NO. 799","CHIHUAHUA","Tue Jun 20 1961 00:00:00 GMT-0600 (hora de verano central)","C-01849","25","106918.74","Thu May 22 2014 00:00:00 GMT-0500 (hora de verano central)"
"1856","ÁNGELA NIETO CRESPO","MANUEL GANDA MANZANA 623","NAYARIT","Sun Apr 10 1966 00:00:00 GMT-0600 (hora de verano central)","C-01855","20","83184.15","Tue Mar 25 2014 00:00:00 GMT-0600 (hora estándar central)"
"1857","JACOB ARIAS MORENO","MIGUEL NEGRETE NÚMERO 23","GUANAJUATO","Thu Jun 06 1963 00:00:00 GMT-0600 (hora de verano central)","C-01856","68","9070.68","Sat Sep 13 2014 00:00:00 GMT-0500 (hora de verano central)"
"1859","PRIMO MARTÍNEZ MUÑOZ","FRESA MANZANA 657","CDMX","Fri Jan 18 1963 00:00:00 GMT-0600 (hora estándar central)","C-01858","66","136113.62","Sat Dec 22 2012 00:00:00 GMT-0600 (hora estándar central)"
"1864","MARIO MORALES LÓPEZ","ROSAS MANZANA 76","TABASCO","Mon Aug 20 1990 00:00:00 GMT-0600 (hora estándar central)","C-01863","146","146856.93","Thu Jul 04 2013 00:00:00 GMT-0500 (hora de verano central)"
"1865","AGUSTÍN CASTRO NIETO","TOTONACAS MZNA 175","OAXACA","Sun Sep 13 1981 00:00:00 GMT-0600 (hora estándar central)","C-01864","37","97914.35","Tue Apr 15 2014 00:00:00 GMT-0500 (hora de verano central)"
"1874","IRENEO HERRERA ÁLVAREZ","PRIV. JESUS LECUONA MANZANA 110","ESTADO DE MÉXICO","Tue Jul 19 1955 00:00:00 GMT-0600 (hora de verano central)","C-01873","37","62044.49","Sat Apr 27 2013 00:00:00 GMT-0500 (hora de verano central)"
"1875","CELIA VICENTE MOLINA","BRAVO NUM. 376","SAN LUIS POTOSÍ","Thu Sep 16 1993 00:00:00 GMT-0600 (hora estándar central)","C-01874","20","1581.23","Fri Feb 22 2013 00:00:00 GMT-0600 (hora estándar central)"
"1877","CALIXTO FUENTES FERRER","AV. ERMITA NO. 58","CHIAPAS","Mon Jan 19 1981 00:00:00 GMT-0600 (hora estándar central)","C-01876","154","54134.39","Sat Sep 21 2013 00:00:00 GMT-0500 (hora de verano central)"
"1883","FULGENCIO MONTERO CRESPO","PUERTO MARQUEZ NÚMERO 689","BAJA CALIFORNIA","Thu Feb 20 1958 00:00:00 GMT-0600 (hora estándar central)","C-01882","152","90402.46","Sun Feb 10 2013 00:00:00 GMT-0600 (hora estándar central)"
"1888","JOSEP ORTIZ VIDAL","JUAREZ NUM. 727","ESTADO DE MÉXICO","Tue Apr 06 1993 00:00:00 GMT-0600 (hora estándar central)","C-01887","25","40991.25","Mon Aug 20 2012 00:00:00 GMT-0500 (hora de verano central)"
"1898","JULIA RODRÍGUEZ MOLINA","HUERTAS NO. 319","JALISCO","Tue Aug 19 1980 00:00:00 GMT-0600 (hora estándar central)","C-01897","66","3013.57","Thu Aug 14 2014 00:00:00 GMT-0500 (hora de verano central)"
"1902","EPIFANÍA SÁEZ ALONSO","BOSQUES DE FELIPE MANZANA 50","SAN LUIS POTOSÍ","Fri Jan 18 1985 00:00:00 GMT-0600 (hora estándar central)","C-01901","66","126086.37","Tue Oct 30 2012 00:00:00 GMT-0600 (hora estándar central)"
"1904","MERCEDES CRUZ SÁEZ","20 DE NOVIEMBRE MANZANA 599","TLAXCALA","Tue Jun 20 1972 00:00:00 GMT-0600 (hora estándar central)","C-01903","146","34941.19","Thu Feb 23 2012 00:00:00 GMT-0600 (hora estándar central)"
"1908","NURIA VEGA ÁLVAREZ","ATLETAS MANZANA 45","YUCATÁN","Wed Apr 04 1973 00:00:00 GMT-0600 (hora estándar central)","C-01907","153","14647.55","Sun Jul 06 2014 00:00:00 GMT-0500 (hora de verano central)"
"1909","PRIMO CALVO PÉREZ","CRUZ VERDE NO. 323","JALISCO","Wed Oct 27 1982 00:00:00 GMT-0600 (hora estándar central)","C-01908","34","3061.96","Tue May 20 2014 00:00:00 GMT-0500 (hora de verano central)"
"1911","EMILIO GALLEGO SANZ","PRIV. COLORINES NUM. 142","MORELOS","Sat Mar 26 1955 00:00:00 GMT-0600 (hora estándar central)","C-01910","70","126074.88","Tue May 29 2012 00:00:00 GMT-0500 (hora de verano central)"
"1913","MARINA DÍAZ LEÓN","JAMES MONROE MZNA 9","VERACRUZ","Thu Jul 25 1963 00:00:00 GMT-0600 (hora de verano central)","C-01912","142","32670.73","Thu Feb 14 2013 00:00:00 GMT-0600 (hora estándar central)"
"1914","RENATO RAMOS HERRERA","PABLO ALVARADO NÚMERO 611","CHIHUAHUA","Mon Mar 15 1965 00:00:00 GMT-0600 (hora estándar central)","C-01913","52","28777.06","Tue Jun 26 2012 00:00:00 GMT-0500 (hora de verano central)"
"1915","CESÁREO MORALES ESTEBAN","ISABEL LA CATOLICA MZNA 21","PUEBLA","Sun Mar 15 1987 00:00:00 GMT-0600 (hora estándar central)","C-01914","154","102575.21","Fri Aug 08 2014 00:00:00 GMT-0500 (hora de verano central)"
"1916","VICTORIA SÁNCHEZ GARCÍA","PLAYA HORNOS NUM. 563","OAXACA","Mon May 19 1986 00:00:00 GMT-0600 (hora estándar central)","C-01915","74","86678.02","Mon Apr 28 2014 00:00:00 GMT-0500 (hora de verano central)"
"1919","JOAN ESTEBAN ROMÁN","CALLE 1 MANZANA 664","COAHUILA","Sat May 18 1974 00:00:00 GMT-0600 (hora estándar central)","C-01918","85","37119.47","Wed Jan 25 2012 00:00:00 GMT-0600 (hora estándar central)"
"1920","NURIA SOTO BENÍTEZ","MARGARITA MAZA DE JUAREZ NUM. 397","QUINTANA ROO","Wed Aug 06 1986 00:00:00 GMT-0600 (hora estándar central)","C-01919","16","121196.7","Sun Sep 08 2013 00:00:00 GMT-0500 (hora de verano central)"
"1921","JOSÉ NÚÑEZ ORTEGA","LINO MERINO NUM. 92","CDMX","Wed Jan 20 1971 00:00:00 GMT-0600 (hora estándar central)","C-01920","154","19013.58","Sat Oct 05 2013 00:00:00 GMT-0500 (hora de verano central)"
"1930","LINO CAMPOS PÉREZ","FERNANDO MONTES DE OCA NO. 799","ESTADO DE MÉXICO","Sat Apr 08 1989 00:00:00 GMT-0600 (hora estándar central)","C-01929","34","59731.02","Sun May 12 2013 00:00:00 GMT-0500 (hora de verano central)"
"1931","FAUSTINO PASCUAL REYES","CERRADA CABRERA MZNA 287","SINALOA","Thu Jul 08 1976 00:00:00 GMT-0600 (hora estándar central)","C-01930","64","100697.06","Wed Aug 01 2012 00:00:00 GMT-0500 (hora de verano central)"
"1932","BALTASAR GIMÉNEZ REYES","TENTEL NO. 160","SONORA","Tue May 11 1971 00:00:00 GMT-0600 (hora estándar central)","C-01931","37","112327.83","Tue Jun 19 2012 00:00:00 GMT-0500 (hora de verano central)"
"1936","PANCRACIO MARTÍNEZ SANTANA","AV. LAS TORRES NUM. 581","CDMX","Tue Apr 14 1959 00:00:00 GMT-0600 (hora de verano central)","C-01935","70","75500.65","Tue Dec 03 2013 00:00:00 GMT-0600 (hora estándar central)"
"1938","IVÁN GARRIDO SANTOS","LAGO GARDA MANZANA 644","DURANGO","Wed Sep 05 1956 00:00:00 GMT-0600 (hora de verano central)","C-01937","92","13484.94","Wed Dec 18 2013 00:00:00 GMT-0600 (hora estándar central)"
"1944","YOLANDA IBÁÑEZ CASTILLO","CORAS NUM. 52","GUANAJUATO","Mon Jul 24 1978 00:00:00 GMT-0600 (hora estándar central)","C-01943","169","115913.92","Tue Feb 04 2014 00:00:00 GMT-0600 (hora estándar central)"
"1948","IFIGENIA GARCÍA DÍAZ","ROSAS MZNA 450","ZACATECAS","Tue Apr 16 1963 00:00:00 GMT-0600 (hora de verano central)","C-01947","73","38141.97","Sat Feb 23 2013 00:00:00 GMT-0600 (hora estándar central)"
"1950","VIRGILIO RUBIO BLANCO","CALLE PASO SOMOSIERRA NO. 528","CDMX","Thu Mar 06 1958 00:00:00 GMT-0600 (hora estándar central)","C-01949","141","43827.9","Tue May 21 2013 00:00:00 GMT-0500 (hora de verano central)"
"1952","MANUEL MARTÍNEZ ORTEGA","PLAZUELA 1 DE SAN PEDRO NUM. 643","SONORA","Mon Dec 05 1983 00:00:00 GMT-0600 (hora estándar central)","C-01951","187","141563.68","Wed Mar 07 2012 00:00:00 GMT-0600 (hora estándar central)"
"1957","ISAAC SUÁREZ SANTIAGO","TECNICOS Y MANUALES NUM. 394","CDMX","Fri Jan 21 1955 00:00:00 GMT-0600 (hora estándar central)","C-01956","165","93841.53","Tue Jan 14 2014 00:00:00 GMT-0600 (hora estándar central)"
"1959","BERNABÉ GARRIDO RODRÍGUEZ","HUERTAS NO. 279","ESTADO DE MÉXICO","Fri Sep 13 1974 00:00:00 GMT-0600 (hora estándar central)","C-01958","142","49556.38","Fri Mar 28 2014 00:00:00 GMT-0600 (hora estándar central)"
"1961","ARTURO ESTEBAN GALLARDO","DOCTOR JOSE MARIA VERTIZ MZNA 713","NAYARIT","Sat Sep 03 1977 00:00:00 GMT-0600 (hora estándar central)","C-01960","20","65679.19","Mon Jun 04 2012 00:00:00 GMT-0500 (hora de verano central)"
"1963","NATALIA MUÑOZ CRESPO","GUADALUPE VICTORIA NUM. 794","QUERÉTARO","Thu May 12 1955 00:00:00 GMT-0600 (hora de verano central)","C-01962","68","46555.08","Mon Jul 29 2013 00:00:00 GMT-0500 (hora de verano central)"
"1966","VIRGILIO FUENTES GARCÍA","PABLO ALVARADO NUM. 301","MICHOACÁN","Sat Sep 03 1960 00:00:00 GMT-0600 (hora de verano central)","C-01965","169","1304.86","Thu Dec 18 2014 00:00:00 GMT-0600 (hora estándar central)"
"1967","CONSUELO MORA CRUZ","VIVEROS DE ASIS MANZANA 385","CHIHUAHUA","Tue Oct 10 1961 00:00:00 GMT-0600 (hora de verano central)","C-01966","125","4274.47","Fri Oct 04 2013 00:00:00 GMT-0500 (hora de verano central)"
"1974","HUMBERTO IBÁÑEZ CARRASCO","STA. CLARA II NÚMERO 479","CAMPECHE","Fri May 26 1961 00:00:00 GMT-0600 (hora de verano central)","C-01973","146","122978.56","Tue Mar 26 2013 00:00:00 GMT-0600 (hora estándar central)"
"1978","BLAS CORTÉS RAMÍREZ","PATRICIO SANZ NO. 299","CDMX","Wed Jan 02 1991 00:00:00 GMT-0600 (hora estándar central)","C-01977","153","131784.07","Sun May 05 2013 00:00:00 GMT-0500 (hora de verano central)"
"1985","BENITO VICENTE GIMÉNEZ","MIERES MZNA 604","SAN LUIS POTOSÍ","Tue May 15 1962 00:00:00 GMT-0600 (hora de verano central)","C-01984","66","55672.84","Tue Jun 11 2013 00:00:00 GMT-0500 (hora de verano central)"
"1990","PASCUAL SANTANA CORTÉS","LERDO NUM. 207","GUANAJUATO","Thu Feb 28 1974 00:00:00 GMT-0600 (hora estándar central)","C-01989","4","27138.72","Tue Feb 11 2014 00:00:00 GMT-0600 (hora estándar central)"
"1991","ZACARÍAS RAMÍREZ MÁRQUEZ","ARCO IRIS NÚMERO 197","GUERRERO","Sun Mar 13 1966 00:00:00 GMT-0600 (hora estándar central)","C-01990","26","7878.75","Sat Sep 13 2014 00:00:00 GMT-0500 (hora de verano central)"
"1998","DOLORES ARIAS FERNÁNDEZ","FRANCISCO SARABIA MANZANA 177","CHIHUAHUA","Tue Oct 24 1989 00:00:00 GMT-0600 (hora estándar central)","C-01997","187","32827.28","Fri Dec 28 2012 00:00:00 GMT-0600 (hora estándar central)"
"2012","DOMINGO GIL VELASCO","CALLE PASO SOMOSIERRA NÚMERO 620","SINALOA","Tue Feb 06 1973 00:00:00 GMT-0600 (hora estándar central)","C-02011","22","30611.45","Sat Feb 11 2012 00:00:00 GMT-0600 (hora estándar central)"
"2022","FÁTIMA CRESPO MOYA","EJIDO MAGDALENA PETLACALCO NO. 54","ZACATECAS","Sat Nov 28 1959 00:00:00 GMT-0600 (hora estándar central)","C-02021","34","127230.72","Sun Jan 19 2014 00:00:00 GMT-0600 (hora estándar central)"
"2028","CAROLINA VELASCO BRAVO","25 DE FEBRERO DE 1861 MZNA 308","TAMAULIPAS","Thu Aug 27 1992 00:00:00 GMT-0600 (hora estándar central)","C-02027","119","61121.07","Tue Jan 31 2012 00:00:00 GMT-0600 (hora estándar central)"
"2029","RUPERTO BRAVO ROMÁN","AVENIDA PAPANTLA MZNA 449","MORELOS","Thu Sep 17 1959 00:00:00 GMT-0600 (hora de verano central)","C-02028","64","64193.69","Mon Jun 10 2013 00:00:00 GMT-0500 (hora de verano central)"
"2049","NICODEMO SANZ FERRER","AV. CRISTOBAL HIDALGO MZNA 248","CHIAPAS","Fri May 27 1983 00:00:00 GMT-0600 (hora estándar central)","C-02048","89","68797.6","Fri Oct 31 2014 00:00:00 GMT-0600 (hora estándar central)"
"2051","EFRÉN DOMÍNGUEZ ARIAS","CAMINO REAL AL AJUSCO NO. 266","ESTADO DE MÉXICO","Sun Feb 09 1992 00:00:00 GMT-0600 (hora estándar central)","C-02050","148","105497.59","Wed Sep 24 2014 00:00:00 GMT-0500 (hora de verano central)"
"2057","OTO GONZÁLEZ MARÍN","LICENCIADO VERDAD NÚMERO 10","ZACATECAS","Sun Nov 17 1968 00:00:00 GMT-0600 (hora estándar central)","C-02056","89","114308.55","Sun Dec 07 2014 00:00:00 GMT-0600 (hora estándar central)"
"2063","BENITO GALLEGO CALVO","CORAS NÚMERO 515","GUERRERO","Sun Nov 24 1968 00:00:00 GMT-0600 (hora estándar central)","C-02062","26","116749.12","Thu May 03 2012 00:00:00 GMT-0500 (hora de verano central)"
"2067","CIPRIANO RODRÍGUEZ GIL","DR BALMIS MZNA 475","OAXACA","Wed Sep 15 1965 00:00:00 GMT-0600 (hora de verano central)","C-02066","92","98256.11","Mon Mar 24 2014 00:00:00 GMT-0600 (hora estándar central)"
"2070","LINO MÁRQUEZ VICENTE","CALLE PETIRROJO NO. 101","TLAXCALA","Thu Feb 04 1993 00:00:00 GMT-0600 (hora estándar central)","C-02069","119","54878.55","Sat May 31 2014 00:00:00 GMT-0500 (hora de verano central)"
"2072","CONRADO REYES PRIETO","HERIBERTO FRIAS MANZANA 700","JALISCO","Thu Apr 14 1983 00:00:00 GMT-0600 (hora estándar central)","C-02071","141","42133.48","Sat Jan 05 2013 00:00:00 GMT-0600 (hora estándar central)"
"2073","TEÓFANES NAVARRO GÓMEZ","ARTEMISAS NUM. 359","CHIHUAHUA","Tue Nov 23 1982 00:00:00 GMT-0600 (hora estándar central)","C-02072","121","119892.88","Tue Aug 20 2013 00:00:00 GMT-0500 (hora de verano central)"
"2086","ISMAEL HERNÁNDEZ CALVO","CALLE PASO SOMOSIERRA NÚMERO 739","VERACRUZ","Thu Dec 18 1986 00:00:00 GMT-0600 (hora estándar central)","C-02085","152","22963.14","Tue Nov 11 2014 00:00:00 GMT-0600 (hora estándar central)"
"2094","ESIQUIO RUIZ MOYA","AVENIDA PAPANTLA MZNA 100","TLAXCALA","Sat Oct 09 1976 00:00:00 GMT-0600 (hora estándar central)","C-02093","51","68654.9","Sat Aug 31 2013 00:00:00 GMT-0500 (hora de verano central)"
"2099","CRISTINA DURÁN MUÑOZ","1ERA. CERRADA DE ENCINAS NÚMERO 392","CHIAPAS","Fri Jul 07 1961 00:00:00 GMT-0600 (hora de verano central)","C-02098","4","13959.78","Fri Feb 21 2014 00:00:00 GMT-0600 (hora estándar central)"
"2100","JUANA CORTÉS CABRERA","NATIVITAS NUM. 602","NUEVO LEÓN","Wed Feb 02 1955 00:00:00 GMT-0600 (hora estándar central)","C-02099","121","102432.98","Sat Jan 05 2013 00:00:00 GMT-0600 (hora estándar central)"
"2106","DEMÓCRITO HERRERO CANO","EL ROSARIO MANZANA 528","NAYARIT","Mon May 25 1992 00:00:00 GMT-0600 (hora estándar central)","C-02105","85","110791.88","Wed May 07 2014 00:00:00 GMT-0500 (hora de verano central)"
"2110","JOSAFAT SANTOS HERRERA","FRANCISCO SARABIA NÚMERO 737","TABASCO","Thu May 27 1954 00:00:00 GMT-0600 (hora de verano central)","C-02109","165","17561.34","Sat Mar 15 2014 00:00:00 GMT-0600 (hora estándar central)"
"2115","SOFÍA CAMBIL MOYA","OLIVO MZNA 327","OAXACA","Sat Oct 22 1960 00:00:00 GMT-0600 (hora de verano central)","C-02114","70","88064.14","Wed Oct 03 2012 00:00:00 GMT-0500 (hora de verano central)"
"2119","VÍCTOR MÉNDEZ GIMÉNEZ","CALLE 8 MANZANA 287","TAMAULIPAS","Sun Apr 26 1981 00:00:00 GMT-0600 (hora estándar central)","C-02118","34","89478.16","Thu Jun 13 2013 00:00:00 GMT-0500 (hora de verano central)"
"2125","ROMÁN PASTOR ROMÁN","STA. CLARA II MANZANA 626","SINALOA","Tue Jun 25 1974 00:00:00 GMT-0600 (hora estándar central)","C-02124","92","133988.23","Thu May 17 2012 00:00:00 GMT-0500 (hora de verano central)"
"2127","GONZALO GUTIÉRREZ LÓPEZ","NORTE 74 NUM. 20","GUANAJUATO","Wed Aug 15 1984 00:00:00 GMT-0600 (hora estándar central)","C-02126","154","68100.21","Wed Aug 07 2013 00:00:00 GMT-0500 (hora de verano central)"
"2131","ADÓN MORENO MÉNDEZ","RAFAEL CRAVIOTO MANZANA 516","OAXACA","Wed Apr 06 1955 00:00:00 GMT-0600 (hora de verano central)","C-02130","169","61182.19","Thu Feb 21 2013 00:00:00 GMT-0600 (hora estándar central)"
"2138","FERNANDO GALLEGO RAMOS","CD. TABAQUILLO NO. 699","QUINTANA ROO","Thu Apr 06 1978 00:00:00 GMT-0600 (hora estándar central)","C-02137","65","102356.98","Sat Jan 07 2012 00:00:00 GMT-0600 (hora estándar central)"
"2141","MATILDE MEDINA LORENZO","SN.MARCOS Y LAS AMERICAS NÚMERO 31","NAYARIT","Mon Aug 16 1971 00:00:00 GMT-0600 (hora estándar central)","C-02140","23","27045.31","Tue Aug 13 2013 00:00:00 GMT-0500 (hora de verano central)"
"2144","CELIA NÚÑEZ LOZANO","AGUILAS NUM. 105","SAN LUIS POTOSÍ","Sat Feb 08 1958 00:00:00 GMT-0600 (hora estándar central)","C-02143","89","115596.55","Sun May 13 2012 00:00:00 GMT-0500 (hora de verano central)"
"2150","ARTURO RAMOS RUBIO","CANAL SECO MANZANA 204","QUINTANA ROO","Sun Mar 26 1995 00:00:00 GMT-0600 (hora estándar central)","C-02149","64","72862.33","Mon Jan 13 2014 00:00:00 GMT-0600 (hora estándar central)"
"2151","BELÉN MARTÍNEZ BRAVO","EJIDO MAGDALENA PETLACALCO NÚMERO 161","ZACATECAS","Sun May 19 1957 00:00:00 GMT-0600 (hora de verano central)","C-02150","66","100644.88","Wed Jun 27 2012 00:00:00 GMT-0500 (hora de verano central)"
"2182","RAMÓN CORTÉS GUTIÉRREZ","CDA. DE FRESNO MZNA 542","SAN LUIS POTOSÍ","Fri Jan 17 1986 00:00:00 GMT-0600 (hora estándar central)","C-02181","141","81792.1","Fri Aug 16 2013 00:00:00 GMT-0500 (hora de verano central)"
