"cliente.idcliente","cliente.nombrecliente","cliente.direccion","cliente.estado","cliente.nacimiento"
"2281","ADÓN MÁRQUEZ DÍEZ","ALDAMA NUM. 618","NUEVO LEÓN","Sat Jul 21 1984 00:00:00 GMT-0600 (hora estándar central)"
"2282","DEMÓCRITO SANTOS CRUZ","LOMBARDOS NÚMERO 262","AGUASCALIENTES","Thu Feb 28 1963 00:00:00 GMT-0600 (hora estándar central)"
"2399","SALOMÉ MORALES RUIZ","CALLE10 DE ABRIL NÚMERO 781","VERACRUZ","Fri Mar 22 1957 00:00:00 GMT-0600 (hora estándar central)"
"2439","PATRICIA MÉNDEZ SÁEZ","GUADALUPE VICTORIA NO. 650","BAJA CALIFORNIA","Thu Nov 12 1970 00:00:00 GMT-0600 (hora estándar central)"
"2574","PABLO GIL CANO","BRAVO MZNA 116","DURANGO","Mon Jul 05 1971 00:00:00 GMT-0600 (hora estándar central)"
"2612","DACIANO MARTÍNEZ DELGADO","CALLEJON ITURBE NO. 391","NUEVO LEÓN","Sun May 14 1989 00:00:00 GMT-0600 (hora estándar central)"
"2622","RIGOBERTO AGUILAR ÁLVAREZ","CERRADA DE CUAUHTEMOC MZNA 77","TLAXCALA","Fri Jan 01 1960 00:00:00 GMT-0600 (hora estándar central)"
"2681","ILDEFONSO CAMBIL MEDINA","CLUB ATLAS NO. 499","SAN LUIS POTOSÍ","Sat May 09 1992 00:00:00 GMT-0600 (hora estándar central)"
"2723","EZEQUIEL GUTIÉRREZ DÍEZ","AVENIDA SAUCES MANZANA 662","VERACRUZ","Sun Mar 06 1983 00:00:00 GMT-0600 (hora estándar central)"
"2745","DACIANO ALONSO ROMÁN","NEZAHUALCOYOTL NO. 268","MICHOACÁN","Wed Sep 05 1973 00:00:00 GMT-0600 (hora estándar central)"
"2807","FERNANDO CRUZ IGLESIAS","CIPRES MANZANA 735","TABASCO","Wed Feb 08 1995 00:00:00 GMT-0600 (hora estándar central)"
"2818","AMPARO MARTÍNEZ DELGADO","FRESA NUM. 200","TABASCO","Sat Apr 21 1973 00:00:00 GMT-0600 (hora estándar central)"
"2875","ÓSCAR DOMÍNGUEZ MORALES","BOSQUES DE FELIPE MZNA 498","YUCATÁN","Sat Jun 18 1977 00:00:00 GMT-0600 (hora estándar central)"
"2995","URBANO ORTIZ CALVO","JESUS GARCIA MORALES NUM. 563","QUERÉTARO","Sun Mar 28 1976 00:00:00 GMT-0600 (hora estándar central)"
"3042","BÁRBARA SUÁREZ BENÍTEZ","LAGO GARDA MANZANA 109","VERACRUZ","Wed Apr 12 1961 00:00:00 GMT-0600 (hora de verano central)"
"3073","ESTER VIDAL VICENTE","HALCON MZNA 127","CDMX","Sun Oct 20 1968 00:00:00 GMT-0600 (hora de verano central)"
"3100","OSWALDO SÁEZ MORENO","PLAYA HORNOS NUM. 318","QUERÉTARO","Thu May 20 1965 00:00:00 GMT-0600 (hora de verano central)"
"3238","GEMA MÁRQUEZ CASTRO","AV. COPILCO NO. 482","SAN LUIS POTOSÍ","Thu Sep 14 1989 00:00:00 GMT-0600 (hora estándar central)"
"3280","MARCIANO REY GALLARDO","TLACOTAL MZNA 237","DURANGO","Wed Apr 20 1977 00:00:00 GMT-0600 (hora estándar central)"
"3330","BALDOMERO GIMÉNEZ ESTEBAN","1ERA. CERRADA DE ENCINAS NO. 314","MORELOS","Mon Jun 18 1973 00:00:00 GMT-0600 (hora estándar central)"
"3331","CARMEN LÓPEZ SERRANO","PUERTO MARQUEZ NUM. 131","GUANAJUATO","Thu Apr 14 1966 00:00:00 GMT-0600 (hora de verano central)"
"3395","MIQUEAS SANTIAGO GALLEGO","TULTEPEC NO. 480","SAN LUIS POTOSÍ","Mon Dec 13 1965 00:00:00 GMT-0600 (hora estándar central)"
"3420","BERNARDA BENÍTEZ DÍAZ","EMILIO LAURENT NÚMERO 245","COAHUILA","Mon Jan 04 1954 00:00:00 GMT-0600 (hora estándar central)"
"3506","ALICIA FERNÁNDEZ GIL","CARMEN SERDAN MANZANA 300","CAMPECHE","Sun Apr 09 1995 00:00:00 GMT-0600 (hora estándar central)"
"3606","BALDUINO MUÑOZ ROMÁN","CDA.DE LA SOLEDAD NÚMERO 570","AGUASCALIENTES","Fri Dec 28 1990 00:00:00 GMT-0600 (hora estándar central)"
"3729","ANTONIA HERNÁNDEZ SERRANO","PRIVADA EXHACIENDA DE LA ESCALERA NÚMERO 756","ZACATECAS","Fri Nov 09 1962 00:00:00 GMT-0600 (hora estándar central)"
"3775","BEATRIZ BLANCO BLANCO","CANAL DEL VADO MANZANA 489","YUCATÁN","Tue Jun 18 1968 00:00:00 GMT-0600 (hora de verano central)"
"3813","ACACIO VICENTE LOZANO","PRIMERA CERRADA DE ROBLE MANZANA 56","GUANAJUATO","Mon Apr 10 1961 00:00:00 GMT-0600 (hora de verano central)"
"3853","VICTORINO RAMOS DÍAZ","TONATIUH NUM. 750","BAJA CALIFORNIA","Sun Feb 20 1955 00:00:00 GMT-0600 (hora estándar central)"
"3866","DÁMASO MÉNDEZ NAVARRO","TENAYUCA NÚMERO 175","CAMPECHE","Tue Oct 24 1978 00:00:00 GMT-0600 (hora estándar central)"
"3919","LINO GÓMEZ GÓMEZ","CARRETERA COSTERA NO. 444","NAYARIT","Sat May 26 1990 00:00:00 GMT-0600 (hora estándar central)"
"3970","AURELIANO ESTEBAN CORTÉS","REPUBLICA DE CHILE MANZANA 777","YUCATÁN","Wed Jan 06 1988 00:00:00 GMT-0600 (hora estándar central)"
"3988","ROSA AGUILAR JIMÉNEZ","PATRICIO SANZ NO. 110","CDMX","Sun Sep 08 1985 00:00:00 GMT-0600 (hora estándar central)"
"3994","ROSA SÁEZ CARMONA","ANGEL TRIAS MANZANA 755","NAYARIT","Wed Jun 14 1967 00:00:00 GMT-0600 (hora de verano central)"
"4050","CELSO GUTIÉRREZ IBÁÑEZ","ISABEL LA CATOLICA NO. 429","MICHOACÁN","Thu Jan 23 1964 00:00:00 GMT-0600 (hora estándar central)"
"4096","ANTONIA ESTEBAN HERRERO","PLAZUELA 1 DE SAN PEDRO MANZANA 290","JALISCO","Tue Jan 04 1977 00:00:00 GMT-0600 (hora estándar central)"
"4166","EDUARDO ROMERO GIL","CALLE GARDENIA NUM. 86","ZACATECAS","Wed May 22 1991 00:00:00 GMT-0600 (hora estándar central)"
"4194","AMBROSIO VELASCO CANO","AV VICENTE RIVA PALACIO NUM. 65","MORELOS","Thu Jul 07 1960 00:00:00 GMT-0600 (hora de verano central)"
"4254","AMARO HERNÁNDEZ ARIAS","JAIME NUNO MZNA 141","CDMX","Sun Sep 13 1959 00:00:00 GMT-0600 (hora de verano central)"
"4384","MOISÉS RUIZ ROMÁN","PRIV. COLORINES MANZANA 404","PUEBLA","Tue Dec 09 1975 00:00:00 GMT-0600 (hora estándar central)"
"4388","LEANDRO SANTOS AGUILAR","MANUEL PELAEZ NÚMERO 285","QUINTANA ROO","Mon Nov 28 1966 00:00:00 GMT-0600 (hora estándar central)"
"4531","JONÁS GIL DÍEZ","XOCHIQUETZAL MANZANA 715","MORELOS","Thu Mar 05 1970 00:00:00 GMT-0600 (hora estándar central)"
"4547","GUZMÁN VARGAS TORRES","AV. CASTILLO DE CHAPULTEPEC NÚMERO 103","GUANAJUATO","Thu Nov 07 1968 00:00:00 GMT-0600 (hora estándar central)"
"4595","ZACARÍAS SANTIAGO RAMOS","VICENTE GUERRERO NÚMERO 129","TABASCO","Thu Jul 21 1955 00:00:00 GMT-0600 (hora de verano central)"
"4621","ASUNCIÓN ÁLVAREZ CANO","CALLE TABASCO NÚMERO 786","JALISCO","Mon Sep 19 1977 00:00:00 GMT-0600 (hora estándar central)"
"4644","PABLO MONTERO NAVARRO","ANDADOR 24 MANUELA SAENZ NÚMERO 133","SINALOA","Mon Aug 07 1995 00:00:00 GMT-0600 (hora estándar central)"
"4649","EUGENIO VÁZQUEZ GIL","SUR 113 A MANZANA 77","SINALOA","Wed Jul 20 1988 00:00:00 GMT-0600 (hora estándar central)"
"4777","NARCISO CALVO ÁLVAREZ","20 DE NOVIEMBRE NUM. 413","ESTADO DE MÉXICO","Sat Jun 12 1954 00:00:00 GMT-0600 (hora de verano central)"
"4783","IFIGENIA MONTERO FUENTES","PRIVADA FARALLON NUM. 330","COAHUILA","Wed Nov 08 1967 00:00:00 GMT-0600 (hora estándar central)"
"4796","LUIS CABALLERO GARCÍA","ADOLFO PRIETO MANZANA 83","NAYARIT","Sat May 07 1994 00:00:00 GMT-0600 (hora estándar central)"
"4828","LEANDRO BLESA MOLINA","AV. MORELOS SUR MZNA 174","JALISCO","Sat Feb 24 1979 00:00:00 GMT-0600 (hora estándar central)"
"4924","TITO VÁZQUEZ GARRIDO","BRAVO MZNA 285","CHIAPAS","Sat Jan 27 1990 00:00:00 GMT-0600 (hora estándar central)"
"4986","SUSANA SERRANO HERRERA","PUERTO ACAPULCO MZNA 331","CHIHUAHUA","Fri Dec 13 1991 00:00:00 GMT-0600 (hora estándar central)"
"5081","TIMOTEO DÍAZ PARRA","20 DE NOVIEMBRE NUM. 677","OAXACA","Sat Jan 09 1965 00:00:00 GMT-0600 (hora estándar central)"
"5195","FAUSTINO ESTEBAN CAMBIL","NEZAHUALCOYOTL MANZANA 1","TAMAULIPAS","Thu Jun 14 1990 00:00:00 GMT-0600 (hora estándar central)"
"5258","MANUEL GUERRERO RAMÍREZ","PROL DE GUADALUPE Y RAMIREZ MANZANA 323","TABASCO","Tue Nov 25 1958 00:00:00 GMT-0600 (hora estándar central)"
"5348","SIXTO NIETO GUTIÉRREZ","BULEVARD DE LA HACIENDA MZNA 107","MICHOACÁN","Fri Sep 14 1984 00:00:00 GMT-0600 (hora estándar central)"
"5359","NARCISO NÚÑEZ AGUILAR","CALLE MAESTRO RURAL NO. 601","CAMPECHE","Mon Mar 10 1986 00:00:00 GMT-0600 (hora estándar central)"
"5442","ALEJANDRO SANTANA MÉNDEZ","AV SANTA MARIA NÚMERO 364","NAYARIT","Sat Jan 11 1992 00:00:00 GMT-0600 (hora estándar central)"
"5557","ESPERANZA PÉREZ MORENO","YUCATAN NUM. 726","VERACRUZ","Tue Mar 10 1964 00:00:00 GMT-0600 (hora estándar central)"
"5571","ARACELI SANZ SOTO","PRIMERA AVENIDA MANZANA 788","SONORA","Wed Feb 17 1965 00:00:00 GMT-0600 (hora estándar central)"
"5604","SANTIAGO HERRERA AGUILAR","GUERRERO NÚMERO 329","AGUASCALIENTES","Mon Oct 21 1957 00:00:00 GMT-0600 (hora de verano central)"
"5681","AUGUSTO IGLESIAS LÓPEZ","PROL AHUEJOTES NO. 732","GUANAJUATO","Thu Feb 21 1980 00:00:00 GMT-0600 (hora estándar central)"
"5701","VIRGINIA DURÁN NAVARRO","EUFEMIO ARREDONDO NUM. 378","ESTADO DE MÉXICO","Wed Jul 14 1993 00:00:00 GMT-0600 (hora estándar central)"
"5714","AGUSTÍN SOTO SANTOS","MIERES NUM. 536","GUANAJUATO","Mon Feb 06 1978 00:00:00 GMT-0600 (hora estándar central)"
"5758","LUCIANO SERRANO GARRIDO","AV. RIO FRIO NO. 323","NUEVO LEÓN","Wed Aug 16 1995 00:00:00 GMT-0600 (hora estándar central)"
"5776","JUVENAL FERRER GUTIÉRREZ","PERIFERICO NÚMERO 114","SAN LUIS POTOSÍ","Wed Feb 03 1954 00:00:00 GMT-0600 (hora estándar central)"
"5892","RUPERTO PASTOR CORTÉS","IXTLIXOCHITL NUM. 532","ESTADO DE MÉXICO","Fri Sep 24 1954 00:00:00 GMT-0600 (hora de verano central)"
"6023","MÍRIAM CAMBIL MOLINA","RETORNO ELIAS F. HURTADO NO. 245","JALISCO","Mon Oct 28 1991 00:00:00 GMT-0600 (hora estándar central)"
"6179","TEÓFANES MÉNDEZ DÍEZ","CALLE MONTEALEGRE MZNA 481","VERACRUZ","Mon Jan 14 1957 00:00:00 GMT-0600 (hora estándar central)"
"6189","ELENA GÓMEZ VICENTE","CIRCUITO PLAZA DE LA PAJA NÚMERO 162","SINALOA","Sun Jan 07 1968 00:00:00 GMT-0600 (hora estándar central)"
"6202","YOLANDA CAMPOS HERRERA","AV JALISCO MZNA 384","TABASCO","Tue Apr 20 1976 00:00:00 GMT-0600 (hora estándar central)"
"6207","VALERIANO GUERRERO RUIZ","MARIA ELENA SANDOVAL NÚMERO 627","GUANAJUATO","Tue Dec 26 1989 00:00:00 GMT-0600 (hora estándar central)"
"6215","ARACELI GALLARDO SERRANO","CERRADA DE CUAUHTEMOC NUM. 747","YUCATÁN","Thu Jun 18 1970 00:00:00 GMT-0600 (hora estándar central)"
"6217","LOURDES GIL LOZANO","NULL NUM. 690","CAMPECHE","Thu Sep 03 1992 00:00:00 GMT-0600 (hora estándar central)"
"6276","VANESA IGLESIAS MORA","PIE DE LA CUESTA NÚMERO 281","ESTADO DE MÉXICO","Sun Aug 18 1963 00:00:00 GMT-0600 (hora de verano central)"
"6300","LÁZARO SUÁREZ DÍAZ","ZEMPOALTEPETL MANZANA 102","MORELOS","Sun Aug 03 1958 00:00:00 GMT-0600 (hora de verano central)"
"6339","ÁNGELES GARRIDO ORTIZ","CALLE LAZARO CARDENAS NO. 725","BAJA CALIFORNIA","Wed Aug 16 1961 00:00:00 GMT-0600 (hora de verano central)"
"6566","ALEJANDRO GIMÉNEZ CASTRO","TOMAS URBINA NUM. 282","SAN LUIS POTOSÍ","Sun Feb 08 1959 00:00:00 GMT-0600 (hora estándar central)"
"6594","EMILIA FUENTES SERRANO","TENORIOS NUM. 455","QUERÉTARO","Sat Jun 20 1964 00:00:00 GMT-0600 (hora de verano central)"
"6635","VICTORIO GUERRERO VARGAS","CALLE GARDENIA MZNA 221","MORELOS","Wed Apr 08 1964 00:00:00 GMT-0600 (hora de verano central)"
"6671","ISAÍAS VÁZQUEZ LOZANO","MAR ROJO NUM. 713","SONORA","Sat Dec 20 1975 00:00:00 GMT-0600 (hora estándar central)"
"6710","ROSENDO RUBIO CARRASCO","BRUSELAS MANZANA 352","TAMAULIPAS","Fri Jun 10 1988 00:00:00 GMT-0600 (hora estándar central)"
"6720","EULALIA GÓMEZ REY","OBRERO MUNDIAL MANZANA 215","NUEVO LEÓN","Fri Apr 09 1965 00:00:00 GMT-0600 (hora de verano central)"
"6738","ALONSO LOZANO IGLESIAS","ALFONSO XIII MZNA 481","NAYARIT","Sat May 01 1993 00:00:00 GMT-0600 (hora estándar central)"
"6833","ALONSO HIDALGO MORA","CTO. LAZARO CARDENAS NÚMERO 615","SINALOA","Sat Apr 19 1975 00:00:00 GMT-0600 (hora estándar central)"
"6846","RAFAEL RAMOS LORENZO","GUIPUZCOA NUM. 312","VERACRUZ","Sun Feb 06 1955 00:00:00 GMT-0600 (hora estándar central)"
"6916","ANTONIO SOTO PASCUAL","PROL DE GUADALUPE Y RAMIREZ MZNA 268","SINALOA","Tue Jun 05 1973 00:00:00 GMT-0600 (hora estándar central)"
"6926","NOELIA ALONSO GALLARDO","FRANCISCO VILLA NO. 137","TABASCO","Thu Nov 09 1967 00:00:00 GMT-0600 (hora estándar central)"
"6999","EUSEBIO CAMBIL LOZANO","CALLEJON PACHECO NO. 372","COAHUILA","Tue Sep 20 1977 00:00:00 GMT-0600 (hora estándar central)"
"7012","AGUSTÍN SANTANA MÁRQUEZ","ADELAIDA MZNA 278","QUINTANA ROO","Fri Nov 17 1967 00:00:00 GMT-0600 (hora estándar central)"
"7114","CLAUDIO CALVO CALVO","ONCE MARTIRES NO. 642","OAXACA","Sat Mar 20 1993 00:00:00 GMT-0600 (hora estándar central)"
"7146","ÁNGEL RAMOS CRESPO","CALLE 5 DE MAYO NO. 157","MORELOS","Tue Jul 11 1967 00:00:00 GMT-0600 (hora de verano central)"
"7153","DOROTEA RODRÍGUEZ RAMOS","AV. QUERETARO NÚMERO 721","CHIAPAS","Sun Dec 21 1975 00:00:00 GMT-0600 (hora estándar central)"
"7159","FAUSTO LORENZO SERRANO","HOPELCHEN NUM. 516","CAMPECHE","Thu Dec 13 1979 00:00:00 GMT-0600 (hora estándar central)"
"7188","ÁUREA SERRANO MORA","MESETA MZNA 158","CHIHUAHUA","Mon Jul 12 1976 00:00:00 GMT-0600 (hora estándar central)"
"7256","FIDEL GUTIÉRREZ DELGADO","CAPIRO NO. 782","NUEVO LEÓN","Sun Aug 11 1968 00:00:00 GMT-0600 (hora de verano central)"
"7258","ONÉSIMO ÁLVAREZ LOZANO","CALLE GRANADAS NO. 710","DURANGO","Fri Jul 05 1968 00:00:00 GMT-0600 (hora de verano central)"
"7311","TORIBIO SERRANO MORA","PLAN DE ATOTONILCO MANZANA 383","GUERRERO","Fri Feb 03 1961 00:00:00 GMT-0600 (hora estándar central)"
"7341","RENATO SANTIAGO MÁRQUEZ","CTO. LAZARO CARDENAS MANZANA 129","MICHOACÁN","Thu Oct 03 1974 00:00:00 GMT-0600 (hora estándar central)"
"7345","JULIA GIMÉNEZ CASTRO","TOTONACAS MANZANA 303","MORELOS","Thu Dec 19 1985 00:00:00 GMT-0600 (hora estándar central)"
"7376","BERNABÉ MOLINA JIMÉNEZ","PRIMERA CERRADA DE LAS ROSAS NO. 623","GUERRERO","Tue Dec 04 1990 00:00:00 GMT-0600 (hora estándar central)"
"7390","LEOCADIA CABRERA GALLEGO","PRIMERA CERRDA DE MARGARITAS NÚMERO 143","SAN LUIS POTOSÍ","Tue Jan 03 1961 00:00:00 GMT-0600 (hora estándar central)"
"7504","SANTIAGO VELASCO SOLER","COMUNAL NO. 741","CHIAPAS","Wed Jan 14 1959 00:00:00 GMT-0600 (hora estándar central)"
"7551","VIRGILIO HERRERA SOTO","POLYUC NÚMERO 787","CHIHUAHUA","Mon Jan 06 1958 00:00:00 GMT-0600 (hora estándar central)"
"7608","ANDRÉS VICENTE RAMOS","NATIVITAS NUM. 528","JALISCO","Sun Jan 21 1973 00:00:00 GMT-0600 (hora estándar central)"
"7631","FERMÍN RAMOS CALVO","MAR ROJO NÚMERO 639","TLAXCALA","Fri Jul 15 1955 00:00:00 GMT-0600 (hora de verano central)"
"7634","GREGORIO MÉNDEZ AGUILAR","BUENA SUERTE MZNA 123","GUANAJUATO","Thu Sep 15 1983 00:00:00 GMT-0600 (hora estándar central)"
"7672","REBECA NAVARRO MEDINA","VICTORIANO SALADO ALVAREZ NUM. 698","AGUASCALIENTES","Sun Apr 05 1959 00:00:00 GMT-0600 (hora estándar central)"
"7678","BENIGNO HIDALGO VEGA","3ERA. CERRADA DE COPAL NO. 259","CHIAPAS","Wed Jul 04 1990 00:00:00 GMT-0600 (hora estándar central)"
"7777","EZEQUIEL VIDAL SOTO","OLIVO MANZANA 391","JALISCO","Tue Oct 23 1990 00:00:00 GMT-0600 (hora estándar central)"
"7790","EMILIO MARÍN ORTEGA","PRIVADA AZOYAPAN NÚMERO 442","PUEBLA","Wed Jan 02 1985 00:00:00 GMT-0600 (hora estándar central)"
"7793","ARESIO HERRERA CARMONA","GRECIA MANZANA 536","ZACATECAS","Sat Jun 03 1978 00:00:00 GMT-0600 (hora estándar central)"
"7807","FABIÁN VELASCO HERRERO","ATLETAS MZNA 588","PUEBLA","Wed Dec 03 1980 00:00:00 GMT-0600 (hora estándar central)"
"7810","ARESIO MONTERO HIDALGO","AHUACATL MANZANA 689","CHIHUAHUA","Mon Nov 13 1967 00:00:00 GMT-0600 (hora estándar central)"
"7916","CIRINO PEÑA SÁNCHEZ","PRIVADA DE HIPODROMO MANZANA 382","SAN LUIS POTOSÍ","Wed Sep 23 1964 00:00:00 GMT-0600 (hora de verano central)"
"7939","IRENEO SANTANA SANTANA","XICOTENCATL MZNA 464","CAMPECHE","Wed Aug 05 1987 00:00:00 GMT-0600 (hora estándar central)"
"7946","TITO CANO CORTÉS","RENATO LEDUC NUM. 108","GUANAJUATO","Mon May 19 1958 00:00:00 GMT-0600 (hora de verano central)"
"7980","CLEOFÁS SOTO CAMPOS","TEJAMANIL MANZANA 788","CAMPECHE","Mon Jul 12 1982 00:00:00 GMT-0600 (hora estándar central)"
"7995","ROSARIO IBÁÑEZ IBÁÑEZ","CALLE 60 MZNA 365","SINALOA","Fri Aug 16 1968 00:00:00 GMT-0600 (hora de verano central)"
"8000","NICOLÁS MARTÍN SÁEZ","SANTA ANA NUM. 379","YUCATÁN","Thu Dec 15 1955 00:00:00 GMT-0600 (hora estándar central)"
"8013","EDGAR REY GUERRERO","PLZAS. VILLA DE MADRID NO. 516","YUCATÁN","Sat Jan 22 1955 00:00:00 GMT-0600 (hora estándar central)"
"8075","MATÍAS MÉNDEZ MÁRQUEZ","PRIVADA AZOYAPAN NUM. 188","NUEVO LEÓN","Thu Mar 02 1989 00:00:00 GMT-0600 (hora estándar central)"
"8089","DANIEL MONTERO SUÁREZ","AGUAJE NÚMERO 609","CDMX","Sat May 05 1984 00:00:00 GMT-0600 (hora estándar central)"
"8097","ORIOL LEÓN CARRASCO","TOMAS URBINA NÚMERO 293","QUINTANA ROO","Sun Jun 24 1984 00:00:00 GMT-0600 (hora estándar central)"
"8136","TRINIDAD HIDALGO CRESPO","CECILIO ROBELO MZNA 639","MORELOS","Sun Sep 04 1966 00:00:00 GMT-0600 (hora de verano central)"
"8191","PANCRACIO CAMBIL SANZ","LIBERTAD NÚMERO 48","COAHUILA","Sun Sep 09 1979 00:00:00 GMT-0600 (hora estándar central)"
"8202","INOCENCIO CAMPOS BLANCO","CALANDRIA NO. 494","QUINTANA ROO","Mon Jan 15 1990 00:00:00 GMT-0600 (hora estándar central)"
"8241","BRUNO MORA SANTANA","AV. SAN LORENZO TEZONCO NÚMERO 78","GUANAJUATO","Fri Sep 15 1961 00:00:00 GMT-0600 (hora de verano central)"
"8287","JOSAFAT CASTRO GALLEGO","1A CDA DE OLIVOS NUM. 544","COAHUILA","Wed Dec 03 1986 00:00:00 GMT-0600 (hora estándar central)"
"8305","GABRIEL FERRER RODRÍGUEZ","ANDADOR DEL LLANO MANZANA 400","NAYARIT","Mon Apr 10 1967 00:00:00 GMT-0600 (hora de verano central)"
"8306","SANSÓN ROMÁN GUERRERO","JAVIER MARTINEZ NÚMERO 4","QUINTANA ROO","Sun Aug 15 1993 00:00:00 GMT-0600 (hora estándar central)"
"8322","ADÓN HERRERA BLESA","ROSAL NO. 142","ZACATECAS","Mon Jun 19 1978 00:00:00 GMT-0600 (hora estándar central)"
"8336","SOLEDAD VIDAL CRUZ","OCOTAL NÚMERO 211","MICHOACÁN","Mon May 16 1988 00:00:00 GMT-0600 (hora estándar central)"
"8432","MAR ARIAS SANZ","AV. COPILCO MZNA 176","PUEBLA","Mon Oct 22 1962 00:00:00 GMT-0600 (hora de verano central)"
"8458","SIRO CRESPO VEGA","20 DE NOVIEMBRE MANZANA 766","CHIHUAHUA","Sun Nov 22 1970 00:00:00 GMT-0600 (hora estándar central)"
"8577","LORENZO MONTORO IGLESIAS","PIEDRA CALIZA NO. 727","COAHUILA","Thu Jul 10 1958 00:00:00 GMT-0600 (hora de verano central)"
"8670","PRISCILA CANO FERNÁNDEZ","EJIDO MAGDALENA PETLACALCO NO. 297","VERACRUZ","Mon Apr 13 1981 00:00:00 GMT-0600 (hora estándar central)"
"8702","REINALDO CABRERA ALONSO","CHIAPANECAS NO. 564","NUEVO LEÓN","Thu Aug 19 1954 00:00:00 GMT-0600 (hora de verano central)"
"8792","ÁLVARO DELGADO ESTEBAN","VICENTE GUERRERO NÚMERO 500","VERACRUZ","Tue Jun 17 1969 00:00:00 GMT-0600 (hora de verano central)"
"8829","LIDIA HIDALGO FERNÁNDEZ","JOAQUIN GARCIA LUNA MZNA 669","OAXACA","Fri Jun 02 1961 00:00:00 GMT-0600 (hora de verano central)"
"8906","TITO ÁLVAREZ MUÑOZ","ANDADOR 16 NÚMERO 532","COAHUILA","Wed Aug 18 1954 00:00:00 GMT-0600 (hora de verano central)"
"8912","ALBERTO PEÑA IGLESIAS","DISTRITO EL PLAN NO. 674","CDMX","Sun Mar 06 1960 00:00:00 GMT-0600 (hora estándar central)"
"8951","BARTOLOMÉ SUÁREZ MORALES","AND LAS LEYES DE REFORMA NUM. 612","VERACRUZ","Mon Nov 04 1985 00:00:00 GMT-0600 (hora estándar central)"
"9053","ESTEBAN BENÍTEZ FUENTES","CONTADORES NUM. 667","SONORA","Sun Dec 08 1974 00:00:00 GMT-0600 (hora estándar central)"
"9058","PASCUAL CAMBIL ARIAS","CIRCUITO RIO BLANCO NO. 172","QUERÉTARO","Thu Sep 21 1995 00:00:00 GMT-0600 (hora estándar central)"
"9105","EVA VIDAL SANTANA","BOSQUES DE BRUSELAS NO. 277","TAMAULIPAS","Wed Jul 01 1964 00:00:00 GMT-0600 (hora de verano central)"
"9130","CECILIA LORENZO MORALES","ACERCAMIENTO NACIONAL NÚMERO 735","OAXACA","Tue Sep 06 1983 00:00:00 GMT-0600 (hora estándar central)"
"9411","ARESIO PEÑA MORALES","JACARANDAS NÚMERO 37","TLAXCALA","Fri Oct 09 1987 00:00:00 GMT-0600 (hora estándar central)"
